0.1	1.00015	0.016021	0.11981
1	1.00010	0.016020	0.11981
4	1.00003	0.016019	0.11982
10	1.00030	0.016023	0.11979
15	1.00090	0.016033	0.11972
20	1.00180	0.016047	0.11961
25	1.00296	0.016066	0.11947
30	1.00437	0.016088	0.11931
35	1.00600	0.016115	0.11911
40	1.00785	0.016144	0.11889
45	1.00989	0.016177	0.11865
50	1.01210	0.016212	0.11839
55	1.01452	0.016251	0.11811
60	1.01709	0.016292	0.11781
65	1.01984	0.016336	0.11750
70	1.02275	0.016383	0.11716
75	1.02581	0.016432	0.11681
80	1.02903	0.016483	0.11645
85	1.03241	0.016538	0.11607
90	1.03594	0.016594	0.11567
95	1.03962	0.016653	0.11526
100	1.04346	0.016715	0.11484
110	1.05158	0.016845	0.11395
120	1.06032	0.016985	0.11301
140	1.07976	0.017296	0.11097
160	1.10199	0.017652	0.10874
180	1.12740	0.018059	0.10629
200	1.15652	0.018526	0.10361
220	1.19016	0.019065	0.10068
240	1.22945	0.019694	0.09746
260	1.27611	0.020441	0.09390
280	1.33284	0.021350	0.08990
300	1.40422	0.022493	0.08533
320	1.49905	0.024012	0.07994
340	1.63755	0.026231	0.07317
360	1.89541	0.030362	0.06322
373.946	3.10559	0.049747	0.03858
